"",""
"Action","Action"
"Add Block","Add Block"
"Add Category Block","Add Category Block"
"Add Product Block","Add Product Block"
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"Attribute Name","Attribute Name"
"All","All"
"ALL","ALL"
"ANY","ANY"
"All groups","All groups"
"Apply To","Apply To"
"Are you sure that you want to delete this block?","Are you sure that you want to delete this block?"
"as current's product one","as current's product one"
"Automatic Related Products","Automatic Related Products"
"Before content","Before content"
"Back","Back"
"Block has been succesfully saved","Block has been succesfully saved"
"Block Name","Block Name"
"Block Type","Block Type"
"Block was successfully deleted","Block was successfully deleted"
"Category","Category"
"Categories","Categories"
"Categories isn't specified","Categories isn't specified"
"Category Page Block","Category Page Block"
"Change status","Change status"
"Condition","Condition"
"Conditions","Conditions"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"contains","contains"
"Continue","Continue"
"Couldn't load block by given ID","Couldn't load block by given ID"
"Count of products should be an integer and greater than 0","Count of products should be an integer and greater than 0"
"Current Category Only","Current Category Only"
"Current category and its  subcategories","Current category and its  subcategories"
"Currently Viewed Category","Currently Viewed Category"
"Currently Viewed Product","Currently Viewed Product"
"Custom","Custom"
"Customer groups","Customer groups"
"Customer Groups","Customer Groups"
"Date Expire","Date Expire"
"Date From","Date From"
"Date Start","Date Start"
"Date To","Date To"
"Delete","Delete"
"Delete Item","Delete Item"
"Disabled","Disabled"
"doesn't contain","doesn't contain"
"Edit","Edit"
"Edit Category Block","Edit Category Block"
"Edit Product Block","Edit Product Block"
"Edit Product Block #%s - '%s'","Edit Product Block #%s - '%s'"
"Enabled","Enabled"
"FALSE","FALSE"
"General","General"
"General Options","General Options"
"greater","greater"
"greater or equal","greater or equal"
"ID","ID"
"Include","Include"
"Inside product","Inside product"
"Inside product page","Inside product page"
"Instead native","Instead native"
"Instead native related block","Instead native related block"
"is not same as","is not same as"
"Item does not exist","Item does not exist"
"less","less"
"less or equal","less or equal"
"Manage Blocks","Manage Blocks"
"Name couldn't be empty","Name couldn't be empty"
"Name","Name"
"No","No"
"Not registered","Not registered"
"Number of products","Number of products"
"Number of products","Number of products"
"Other","Other"
"Out of stock","Out of stock"
"Please select item(s)","Please select item(s)"
"Position","Position"
"Priority","Priority"
"Product","Product"
"Product block","Product block"
"Product Page Block","Product Page Block"
"Related Products","Related Products"
"Reset","Reset"
"Random Order","Random Order"
"same as","same as"
"Save","Save"
"Save And Continue Edit","Save And Continue Edit"
"Save As New","Save As New"
"Save Item","Save Item"
"Select Attribute","Select Attribute"
"Select block type","Select block type"
"Select Categories","Select Categories"
"Select Condition","Select Condition"
"similar to","similar to"
"Status","Status"
"Store View","Store View"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Type","Type"
"TRUE","TRUE"
"Under native","Under native"
"Under native related block","Under native related block"
"Yes","Yes"
